gradient_degC_per_cm,T_c_degC,T_start_minus_T_c_degC,TI
0.3,20.0,-5.029850746268659,-0.057823129251700855
0.3,20.0,-3.029850746268659,-0.006802721088435382
0.3,20.0,-1.0298507462686572,-0.006802721088435382
0.3,20.0,0.9999999999999964,0.22789115646258495
0.3,20.0,1.9701492537313392,-0.20238095238095255
0.3,20.0,2.970149253731339,-0.7448979591836735
0.3,20.0,4.970149253731343,-0.34013605442176864
0.5,15.5,9.488425240866793,-0.22477064220183474
0.5,15.5,7.505014632863109,-0.4418960244648318
0.5,15.5,5.494475683140969,-0.6498470948012232
0.5,15.5,2.5178389398572847,-0.918960244648318
0.5,15.5,3.487636052744076,-0.9954128440366972
0.5,15.5,1.4705205353326072,0.041284403669724856
0.5,15.5,-0.5195488474565124,0.0718654434250765
0.5,17.0,7.952961099602117,-0.10550458715596323
0.5,17.0,6.028657393706226,-0.5214067278287462
0.5,17.0,3.998059912531648,-0.9831804281345569
0.5,17.0,1.9936042879221318,-0.4174311926605505
0.5,17.0,3.026372036434182,-0.8363914373088683
0.5,17.0,-0.004932425766991599,-0.0718654434250765
0.5,17.0,-2.0222123573706874,-0.029051987767583887
0.5,20.0,-5.0285258623524385,-0.1941896024464831
0.5,20.0,-3.0426490414652587,-0.0688073394495412
0.5,20.0,-1.053648350925652,-0.059633027522935755
0.5,20.0,0.9573016342770728,0.1330275229357798
0.5,20.0,1.9723948571240655,-0.6284403669724772
0.5,20.0,3.0012988721186424,-0.9036697247706422
0.5,20.0,4.957909966788332,-0.6896024464831805
0.5,23.0,-8.043471112426424,-0.03822629969418956
0.5,23.0,-6.02619118082273,-0.08103975535168195
0.5,23.0,-3.0385386866594306,-0.22171253822629966
0.5,23.0,-4.007513728585051,-0.1758409785932722
0.5,23.0,-2.03380355792312,0.4021406727828747
0.5,23.0,-0.06658774785439547,0.22171253822629977
0.5,23.0,1.9617079346289152,-0.23088685015290533
0.5,23.0,2.9698135543060076,-0.7324159021406729
1.0,15.0,9.949152542372886,-0.26856584093872193
1.0,15.0,7.983050847457633,-0.261629726205997
1.0,15.0,6.016949152542377,-0.8431551499348102
1.0,15.0,3.9491525423728824,-0.9631812255541061
1.0,15.0,3.0000000000000036,-0.9635462842242499
1.0,15.0,1.9830508474576298,-0.20624511082138164
1.0,15.0,-0.05084745762711407,0.1352803129074318
1.0,20.0,1.0000000000000036,-0.022007822685788492
1.0,20.0,4.96610169491526,-0.40894393741851354
1.0,20.0,7.0000000000000036,-0.39277705345501923
1.0,20.0,3.0000000000000036,-0.8981616688396352
1.0,20.0,1.9830508474576298,-0.5485528031290741
1.0,20.0,-0.05084745762711407,-0.15702737940026057
1.0,20.0,-1.0,0.06953063885267308
1.0,20.0,-3.033898305084744,-0.16202086049543651
1.0,20.0,-4.999999999999998,0.05645371577574987
1.0,23.0,-7.983050847457628,0.1860756192959584
1.0,23.0,-6.016949152542374,0.16760104302477208
1.0,23.0,-3.9491525423728806,0.05301173402868331
1.0,23.0,-3.033898305084744,-0.12355932203389819
1.0,23.0,-1.9491525423728788,-0.10391134289439341
1.0,23.0,-1.033898305084744,-0.08432855280312879
1.0,23.0,-0.05084745762711407,0.04681877444589344
1.0,23.0,3.0000000000000036,-0.8443155149934807
1.0,23.0,5.98305084745763,-0.5277835723598434
1.5,15.5,-0.5183946488294318,-0.469465648854962
1.5,15.5,1.5551839464882953,-0.5801526717557253
1.5,15.5,5.535117056856187,-0.8091603053435115
1.5,15.5,3.561872909698998,-0.9770992366412214
1.5,15.5,7.4749163879598655,-0.4580152671755726
1.5,15.5,9.515050167224082,-0.5610687022900764
1.5,20.0,-5.033444816053512,-0.14503816793893143
1.5,20.0,-3.0267558528428093,-0.44656488549618345
1.5,20.0,-1.0200668896321083,-0.5305343511450382
1.5,20.0,0.9866220735785944,-0.6030534351145038
1.5,20.0,2.993311036789297,-0.9618320610687026
1.5,20.0,5.0,-0.8931297709923662
1.5,23.0,-8.043478260869565,-0.2671755725190841
1.5,23.0,-6.0367892976588635,-0.44656488549618345
1.5,23.0,-3.9632107023411365,-0.5610687022900764
1.5,23.0,-1.9899665551839458,-0.5992366412213743
1.5,23.0,-0.016722408026755176,-0.5152671755725191
1.5,23.0,1.9899665551839476,-0.9045801526717561
1.5,23.0,3.026755852842811,-0.8816793893129773
