panel,Tc,condition,T_degC,v_mm_per_s
A,20,constant_T,14.978193177018358,0.07854532774083278
A,20,constant_T,19.977849375755135,0.1297864503010717
A,20,constant_T,24.9628694635718,0.13386393328290916
A,20,warming,15.004322073023388,0.08422001316267697
A,20,warming,16.990609314067363,0.11372307299391962
A,20,warming,18.925326365627733,0.12939451686099623
A,20,warming,20.94677956445291,0.13194846910208935
A,20,warming,22.965875268901705,0.1430129760419634
A,20,warming,24.927507047925896,0.16152225376462384
A,20,cooling,14.979371924206557,0.07429005039144229
A,20,cooling,16.967525514965175,0.09705558775281672
A,20,cooling,18.92611219708653,0.12655766529473592
A,20,cooling,20.979686256790075,0.11315530976493818
A,20,cooling,22.968920365804546,0.13202017622270462
A,20,cooling,24.958056245886663,0.15123964912625365
B,15,warming,15.003145643965853,0.09670811189657227
B,15,warming,16.972318339100347,0.1080651258619669
B,15,warming,18.97923875432526,0.11583196746190738
B,15,warming,21.02076124567474,0.134203352050275
B,15,warming,23.02453601693381,0.13084592971614376
B,15,cooling,15.000000000000000,0.08091877617920235
B,15,cooling,16.972318339100347,0.09135858677836461
B,15,cooling,18.97923875432526,0.1114460025496267
B,15,cooling,21.02076124567474,0.1284617252473745
